Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company Age,Min Salary,Max Salary,Avg Salary
"Data Analyst, Center on Immigration and Justice (CIJ)",37-66 ,3.2,Vera Institute of Justice,"New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,TRUE,65.0,37.0,66,51.5
Quality Data Analyst,37-66 ,3.8,Visiting Nurse Service of New York,"New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,133.0,37.0,66,51.5
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",37-66 ,3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,23.0,37.0,66,51.5
Data Analyst,37-66 ,4.1,Celerity,"New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,24.0,37.0,66,51.5
Reporting Data Analyst,37-66 ,3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,TRUE,17.0,37.0,66,51.5
Data Analyst,37-66 ,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,12.0,37.0,66,51.5
Business/Data Analyst (FP&A),37-66 ,4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,25.0,37.0,66,51.5
Data Science Analyst,37-66 ,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",TRUE,112.0,37.0,66,51.5
Data Analyst,37-66 ,4.0,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1,130.0,37.0,66,51.5
"Data Analyst, Merchant Health",37-66 ,4.4,Riskified,"New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,13.0,37.0,66,51.5
Data Analyst,37-66 ,4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,185.0,37.0,66,51.5
Data Analyst,37-66 ,-1.0,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
DATA ANALYST,37-66 ,3.7,Montefiore Medical,"New York, NY","Bronx, NY",10000+ employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,142.0,37.0,66,51.5
Senior Data Analyst,37-66 ,3.0,Known,"New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,TRUE,22.0,37.0,66,51.5
Investment Advisory Data Analyst,37-66 ,3.4,Advisor Group,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),-1,-1,10.0,37.0,66,51.5
Sustainability Data Analyst,37-66 ,3.6,CodeGreen Solutions,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
Data Analyst,37-66 ,3.8,Undertone,"New York, NY","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",TRUE,25.0,37.0,66,51.5
Clinical Data Analyst,37-66 ,3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",-1,30.0,37.0,66,51.5
DATA PROGRAMMER/ANALYST,37-66 ,3.9,"Education Development Center, Inc.","New York, NY","Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1,-1,68.0,37.0,66,51.5
Data Analyst,37-66 ,4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,20.0,37.0,66,51.5
"Product Analyst, Data Science",37-66 ,4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",-1,28.0,37.0,66,51.5
Data Science Analyst,37-66 ,-1.0,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
Data Analyst - Intex Developer,37-66 ,3.3,Macquarie Group,"New York, NY","Sydney, Australia",10000+ employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",-1,57.0,37.0,66,51.5
Data Analyst,37-66 ,3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1,,37.0,66,51.5
Entry Level / Jr. Data Analyst,37-66 ,3.8,Dash Technologies Inc,"New York, NY","Columbus, OH",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
Data Analyst,37-66 ,4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,,37.0,66,51.5
Data + Business Intelligence Analyst,37-66 ,5.0,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,-1,15.0,37.0,66,51.5
"Data Analyst, Product",37-66 ,4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,9.0,37.0,66,51.5
Data Analyst Entry Level,37-66 ,3.7,Endai,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,,37.0,66,51.5
Data Analyst,37-66 ,4.7,BlueLabs,"New York, NY","Washington, DC",1 to 50 employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
Data Analyst,46-87 ,3.6,Revel,"Brooklyn, NY","Seattle, WA",51 to 200 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,TRUE,21.0,46.0,87,66.5
Data Analyst,46-87 ,3.6,NALLAS CORPORATION,"Jersey City, NJ","Newtown, PA",1 to 50 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,-1,,46.0,87,66.5
Data Analyst,46-87 ,3.5,Pozent,"New York, NY","Piscataway, NJ",1 to 50 employees,-1,Contract,-1,-1,Less than $1 million (USD),-1,-1,,46.0,87,66.5
"Data Science Analyst, Capital Markets",46-87 ,3.2,SoFi,"New York, NY","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,-1,15.0,46.0,87,66.5
Data Analyst (Games),46-87 ,-1.0,Carry1st,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,,46.0,87,66.5
Analyst/Associate Global Markets Credit Data Analyst,46-87 ,3.7,Bank of America,"New York, NY","Charlotte, NC",10000+ employees,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1,122.0,46.0,87,66.5
Data Business Analyst,46-87 ,-1.0,Clear Street,"New York, NY","New York, NY",51 to 200 employees,2018,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1,8.0,46.0,87,66.5
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,46-87 ,3.6,Nutech Information Systems,"New York, NY","Westmont, IL",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,-1,,46.0,87,66.5
Data Science Analyst/Engineer,46-87 ,4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,185.0,46.0,87,66.5
Data Analyst,46-87 ,4.6,The Trevor Project,"New York, NY","West Hollywood, CA",51 to 200 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),-1,-1,,46.0,87,66.5
"Business Analyst, Data Platforms",46-87 ,-1.0,Pinto,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,46.0,87,66.5
Behavioral Data Analyst,46-87 ,-1.0,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,,46.0,87,66.5
Data Analyst,46-87 ,5.0,Whip Media Group,"New York, NY","Santa Monica, CA",51 to 200 employees,2016,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,10.0,46.0,87,66.5
Data Analyst -1+ year Contract - NYC,46-87 ,4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,,46.0,87,66.5
Data Analyst,46-87 ,3.0,Vettery,"New York, NY","New York, NY",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Hired, Indeed, AngelList",-1,13.0,46.0,87,66.5
Data Analyst,46-87 ,2.9,"Nesco Resource, LLC","New York, NY","Cleveland, OH",1001 to 5000 employees,1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1,-1,70.0,46.0,87,66.5
Advertising Data Analyst,46-87 ,4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,,46.0,87,66.5
Data Analyst,46-87 ,3.6,MediaMath,"New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",TRUE,19.0,46.0,87,66.5
Market Data Reporting Analyst,46-87 ,4.9,Jordan & Jordan,"New York, NY","New York, NY",1 to 50 employees,1990,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,36.0,46.0,87,66.5
"Senior Analyst, Data Science",46-87 ,3.9,Roku,"New York, NY","San Jose, CA",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,24.0,46.0,87,66.5
"Senior Data Analyst, Disney+",46-87 ,4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,103.0,46.0,87,66.5
"Office of the CAO | Reference Data, Project Manager/Business Analyst",46-87 ,3.8,Citadel,"New York, NY","Chicago, IL",1001 to 5000 employees,1990,Company - Private,-1,-1,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",-1,36.0,46.0,87,66.5
Business Data Analyst,46-87 ,3.7,Xoriant Corporation,"Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",-1,36.0,46.0,87,66.5
Senior Data Analyst,46-87 ,3.6,Gemini,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1,-1,11.0,46.0,87,66.5
Data Scientist / Big Data Analytics Analyst,46-87 ,3.6,"TSR, Inc.","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1,57.0,46.0,87,66.5
Data Reporting Analyst,46-87 ,-1.0,NADAP NYS INC.,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,,46.0,87,66.5
"Principal Data Analyst, LATAM - Disney Streaming Services",46-87 ,4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,103.0,46.0,87,66.5
Data Analyst II,46-87 ,3.2,Fragomen Worldwide,"New York, NY","New York, NY",1001 to 5000 employees,1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),-1,-1,75.0,46.0,87,66.5
"Data Analyst - Environmental, Social, and Governance",46-87 ,3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",-1,45.0,46.0,87,66.5
Data Analyst,46-87 ,3.9,Real Capital Analytics,"New York, NY","New York, NY",51 to 200 employees,2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),-1,-1,26.0,46.0,87,66.5
"Data Analyst, Revenue Analytics",51-88 ,4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,9.0,51.0,88,69.5
Data Analyst - Data Acquisition / Data Lineage,51-88 ,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,28.0,51.0,88,69.5
Data Analyst - Data Scanning utilizing Rochade,51-88 ,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,28.0,51.0,88,69.5
Data Analyst - Stitching,51-88 ,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),-1,-1,28.0,51.0,88,69.5
Junior Data Analyst,51-88 ,4.1,Kforce,"New York, NY","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),-1,-1,60.0,51.0,88,69.5
"Data Analyst, Retail Media",51-88 ,3.9,Criteo,"New York, NY","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",-1,21.0,51.0,88,69.5
Data Analyst,51-88 ,3.0,Royal Communications,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,,51.0,88,69.5
Portfolio Data Analyst,51-88 ,3.7,Neuberger Berman,"New York, NY","New York, NY",1001 to 5000 employees,1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),"Fidelity Investments, BlackRock, Putnam Investments",-1,87.0,51.0,88,69.5
Data Science Analyst,51-88 ,-1.0,Greater New York Mutual Insurance Companies (GNY),"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,,51.0,88,69.5
Data/Reporting Analyst,51-88 ,3.9,Diverse Lynx,"New York, NY","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,-1,24.0,51.0,88,69.5
Data Analyst 2,51-88 ,3.7,eTeam Inc.,"New York, NY","South Plainfield, NJ",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",-1,27.0,51.0,88,69.5
Entry Level Data Analyst,51-88 ,-1.0,impakt Advisors,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,,51.0,88,69.5
Marketing Data Analyst,51-88 ,3.6,Current,"New York, NY","Colorado Springs, CO",201 to 500 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,,51.0,88,69.5
Data/Information Mgt Analyst,51-88 ,3.7,Citi,"New York, NY","New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,214.0,51.0,88,69.5
Business Data Analyst,51-88 ,3.6,Axelon Services Corporation,"New York, NY","New York, NY",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,,51.0,88,69.5
Information Systems Officer (Data Analyst),51-88 ,4.1,United Nations,"New York, NY","New York, NY",10000+ employees,1945,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,81.0,51.0,88,69.5
Media Science Big Data Analyst,51-88 ,3.5,"Discovery Communications, Inc.","New York, NY","New York, NY",10000+ employees,1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),-1,-1,41.0,51.0,88,69.5
Data Analyst,51-88 ,3.7,Randstad,"Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,-1,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,,51.0,88,69.5
Data Analyst,51-88 ,5.0,Mulberry Technology,"New York, NY","New York, NY (US), NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,51.0,88,69.5
Data analyst with Python,51-88 ,4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,,51.0,88,69.5
Data Analyst,51-88 ,4.8,SoftStandard Solutions,"New York, NY","Fremont, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,51.0,88,69.5
Data Analyst,51-88 ,5.0,"EDO, Inc.","New York, NY","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,,51.0,88,69.5
"Healthcare Data Analyst, Qsight",51-88 ,3.3,Guidepoint,"New York, NY","New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",TRUE,23.0,51.0,88,69.5
BA/Data Analyst,51-88 ,4.1,Mitchell Martin,"New York, NY","New York, NY",501 to 1000 employees,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,42.0,51.0,88,69.5
Data Analyst Python,51-88 ,4.0,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,,51.0,88,69.5
"Data Analyst, Bitcoin Trading Firm",51-88 ,-1.0,Fintech Recruiters,"New York, NY","Dublin, Ireland",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,51.0,88,69.5
Data Analyst-BA,51-88 ,1.0,Sphinix Network Solutions Inc.,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1,,51.0,88,69.5
Data Analytics Solutions Analyst,51-88 ,3.1,Praescient Analytics,"New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,15.0,51.0,88,69.5
Quantitative Data Analyst,51-88 ,4.5,Global Atlantic Financial Group,"New York, NY","New York, NY",1001 to 5000 employees,2004,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,TRUE,22.0,51.0,88,69.5
Data Analyst,51-88 ,3.4,FINRA,"New York, NY","Washington, DC",1001 to 5000 employees,2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),-1,-1,19.0,51.0,88,69.5
Data Analyst,51-87 ,-1.0,NYU Langone Medical Center,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,,51.0,87,69.0
"Descriptive Analytics Data Analyst, IB",51-87 ,3.6,Jefferies,"New York, NY","New York, NY",1001 to 5000 employees,1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),-1,-1,64.0,51.0,87,69.0
Data Analyst,51-87 ,4.1,RGP,"New York, NY","Irvine, CA",1001 to 5000 employees,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",-1,30.0,51.0,87,69.0
Data Analyst,51-87 ,4.4,Tachyon Technologies,"New York, NY","Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,15.0,51.0,87,69.0
Data Analyst,51-87 ,3.8,Apex Systems,"Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",TRUE,31.0,51.0,87,69.0
Data Analyst,51-87 ,3.2,Hagerty Consulting,"New York, NY","Evanston, IL",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,-1,,51.0,87,69.0
Data Analyst,51-87 ,-1.0,Gainful Health,"New York, NY","San Mateo, CA",1 to 50 employees,-1,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,-1,-1,,51.0,87,69.0
Business Data Analyst,51-87 ,3.8,Cortex consultants LLC,"New York, NY","North Brunswick, NJ",501 to 1000 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,,51.0,87,69.0
Data Analyst,51-87 ,4.7,Medly Pharmacy,"Brooklyn, NY","Brooklyn, NY",201 to 500 employees,2017,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,9.0,51.0,87,69.0
Healthcare Data Analyst,51-87 ,2.3,Fair Health,"New York, NY","New York, NY",1 to 50 employees,-1,Nonprofit Organization,-1,-1,$10 to $25 million (USD),-1,-1,,51.0,87,69.0
Supply Chain Data Analyst,51-87 ,3.8,Peloton Interactive,"New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,TRUE,14.0,51.0,87,69.0
Data Analyst - IBM Tool Set,51-87 ,4.6,ektello,"New York, NY","Troy, MI",201 to 500 employees,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1,15.0,51.0,87,69.0
Analyst-Data Integrity,51-87 ,3.0,"Premier, Inc.","New York, NY","Charlotte, NC",1001 to 5000 employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,59.0,51.0,87,69.0
"Reference Data Operations Analyst - Index Instrument, Associate",51-87 ,3.9,JPMorgan Chase,"New York, NY","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,227.0,51.0,87,69.0
Data Analyst,51-87 ,3.0,Fund for Public Health,"Long Island City, NY","New York, NY",201 to 500 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),-1,-1,,51.0,87,69.0
Data & Service Health Analyst,51-87 ,4.2,BlueVoyant,"New York, NY","New York, NY",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,51.0,87,69.0
Data/Systems Analyst,51-87 ,5.0,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1,,51.0,87,69.0
Data Analyst,51-87 ,4.0,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,22.0,51.0,87,69.0
Data Analyst,51-87 ,-1.0,Hyde Leadership Brooklyn,"Brooklyn, NY","Brooklyn, NY",51 to 200 employees,-1,School / School District,-1,-1,Unknown / Non-Applicable,-1,-1,,51.0,87,69.0
Data Analyst,51-87 ,-1.0,Vertex Intel Systems,"Jersey City, NJ",-1,-1,-1,-1,-1,-1,-1,-1,-1,,51.0,87,69.0
Data Analyst Intern,51-87 ,3.6,My Job Tank,"Jersey City, NJ","New York, NY",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,TRUE,,51.0,87,69.0
"Data Analytics Analyst or Associate, Cowen Sustainable Investments",51-87 ,3.7,Cowen,"New York, NY","New York, NY",501 to 1000 employees,1918,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),"Jefferies, Piper Sandler, FBR",-1,108.0,51.0,87,69.0
Data Reporting Analyst,51-87 ,3.5,Robert Half,"New York, NY","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1,78.0,51.0,87,69.0
Data Analyst,51-87 ,2.8,FJA-US Inc.,"New York, NY","New York, NY",51 to 200 employees,1994,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),"Ibotta, GutCheck",-1,32.0,51.0,87,69.0
Data Analyst,51-87 ,5.0,Averity,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,12.0,51.0,87,69.0
Data Analyst,51-87 ,3.8,Capgemini,"Jersey City, NJ","Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",-1,59.0,51.0,87,69.0
ERP Data Analyst,51-87 ,3.4,Wildlife Conservation Society,"New York, NY","Bronx, NY",1001 to 5000 employees,1895,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,-1,131.0,51.0,87,69.0
Data Analyst,51-87 ,3.6,Asembia,"Florham Park, NJ","Florham Park, NJ",501 to 1000 employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1,-1,22.0,51.0,87,69.0
Healthcare Data/Reporting Analyst,51-87 ,-1.0,Vesta Healthcare,"New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,8.0,51.0,87,69.0
PBM Data Analyst,51-87 ,3.2,1199SEIU Funds,"New York, NY","New York, NY",1001 to 5000 employees,-1,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,-1,,51.0,87,69.0
Data Analyst (Temporary Assignment),59-85 ,3.8,Nutrafol,"New York, NY","New York, NY",51 to 200 employees,-1,Other Organization,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1,-1,,59.0,85,72.0
Data Analyst,59-85 ,3.5,New York Life Insurance Co,"New York, NY","New York, NY",10000+ employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1,-1,181.0,59.0,85,72.0
Market Data Analyst,59-85 ,3.5,"EDP World, Inc.","New York, NY","New York, NY",1 to 50 employees,1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,58.0,59.0,85,72.0
Data Analyst,59-85 ,4.1,Phyton Talent Advisors,"Jersey City, NJ","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,59.0,85,72.0
