Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company Age,Min Salary,Max Salary,Avg Salary
Simulation Data Analyst,35-42 ,2.7,Hyliion,"Cedar Park, TX","Cedar Park, TX",1 to 50 employees,2015,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,-1,-1,11.0,35.0,42,38.5
Data Analyst/Program Manager,35-42 ,-1.0,softsnippets,"Austin, TX",-1,-1,-1,-1,-1,-1,-1,-1,-1,,35.0,42,38.5
Data Analyst III,35-42 ,3.3,Centene Corporation,"Austin, TX","Saint Louis, MO",10000+ employees,1984,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,42.0,35.0,42,38.5
Senior Data Analyst / Senior BI and Insights Analyst,35-42 ,4.4,"Quantilus, Inc","Round Rock, TX","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1,,35.0,42,38.5
"Associate, Strategy and Operations (Data Analyst IV)",35-42 ,2.8,Texas Education Agency,"Austin, TX","Austin, TX",501 to 1000 employees,-1,Government,State & Regional Agencies,Government,$100 to $500 million (USD),-1,-1,,35.0,42,38.5
19-84R Team Lead (Data Analyst IV),43-77 ,2.8,Texas Water Development Board,"Austin, TX","Austin, TX",201 to 500 employees,1957,Government,State & Regional Agencies,Government,Unknown / Non-Applicable,-1,-1,69.0,43.0,77,60.0
Data Lineage Analyst,43-77 ,3.5,The Judge Group,"Round Rock, TX","Wayne, PA",1001 to 5000 employees,1970,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Adecco, Kforce",-1,56.0,43.0,77,60.0
DPS - FIN - CAPPS Financial Senior Data Analyst,43-77 ,3.4,TEXAS DEPARTMENT OF PUBLIC SAFETY,"Austin, TX","Austin, TX",1001 to 5000 employees,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,-1,,43.0,77,60.0
Data Analyst,40-72 ,3.0,CSI Tech Inc.,"Jacksonville, FL","Jacksonville, FL",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,32.0,40.0,72,56.0
Data Reporting Analyst,40-72 ,3.5,Robert Half,"Jacksonville, FL","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1,78.0,40.0,72,56.0
